Feature,Importance,Std
lbp_6,0.00022222222222222364,0.0009686442096757113
glcm_dissimilarity_5,0.00022222222222222364,0.0009686442096757113
glcm_energy_2,0.00022222222222222364,0.0009686442096757113
graph_components,1.1102230246251566e-17,0.001987615979999801
hog_47,5.551115123125783e-18,0.0014054567378526046
hog_0,5.551115123125783e-18,0.0014054567378526046
hog_57,5.551115123125783e-18,0.0014054567378526046
hog_10,5.551115123125783e-18,0.0014054567378526046
hog_34,0.0,0.0
glcm_homogeneity_9,0.0,0.0
glcm_homogeneity_10,0.0,0.0
hog_46,0.0,0.0
hog_22,0.0,0.0
hog_23,0.0,0.0
hog_24,0.0,0.0
hog_25,0.0,0.0
glcm_homogeneity_8,0.0,0.0
glcm_homogeneity_3,0.0,0.0
glcm_homogeneity_1,0.0,0.0
glcm_homogeneity_2,0.0,0.0
hog_43,0.0,0.0
hog_32,0.0,0.0
glcm_homogeneity_7,0.0,0.0
glcm_homogeneity_6,0.0,0.0
glcm_homogeneity_5,0.0,0.0
glcm_homogeneity_0,0.0,0.0
glcm_homogeneity_11,0.0,0.0
hog_16,0.0,0.0
hog_49,0.0,0.0
hog_59,0.0,0.0
lbp_8,0.0,0.0
min_intensity,0.0,0.0
max_intensity,0.0,0.0
hog_4,0.0,0.0
p10_intensity,0.0,0.0
hog_51,0.0,0.0
glcm_correlation_2,0.0,0.0
glcm_correlation_0,0.0,0.0
hog_13,0.0,0.0
hog_50,0.0,0.0
glcm_homogeneity_4,0.0,0.0
p25_intensity,-0.00022222222222221256,0.0017069212773041186
hog_55,-0.0002222222222222181,0.0009686442096756875
hog_56,-0.0002222222222222181,0.0009686442096756875
hog_42,-0.0002222222222222181,0.0009686442096756875
hog_58,-0.0002222222222222181,0.0009686442096756875
hog_41,-0.0002222222222222181,0.0009686442096756875
hog_40,-0.0002222222222222181,0.0009686442096756875
hog_28,-0.0002222222222222181,0.0009686442096756875
hog_14,-0.0002222222222222181,0.0009686442096756875
hog_15,-0.0002222222222222181,0.0009686442096756875
var_intensity,-0.0002222222222222181,0.0009686442096756875
hog_1,-0.0002222222222222181,0.0009686442096756875
std_intensity,-0.0002222222222222181,0.0009686442096756875
hog_7,-0.0002222222222222181,0.0009686442096756875
hog_8,-0.0002222222222222181,0.0009686442096756875
glcm_correlation_6,-0.0002222222222222181,0.0009686442096756875
hog_33,-0.0002222222222222181,0.0009686442096756875
hist_bin_9,-0.0002222222222222181,0.0009686442096756875
hog_18,-0.0002222222222222181,0.0009686442096756875
hog_19,-0.0002222222222222181,0.0009686442096756875
hog_21,-0.0002222222222222181,0.0009686442096756875
hog_29,-0.0002222222222222181,0.0009686442096756875
hog_30,-0.0002222222222222181,0.0009686442096756875
hog_31,-0.0002222222222222181,0.0009686442096756875
lbp_3,-0.0004444444444444251,0.0023934065809486467
hist_bin_14,-0.00044444444444443064,0.0019372884193513886
p90_intensity,-0.0004444444444444362,0.0013333333333333084
lbp_4,-0.0008888888888888502,0.004575835618216429
hist_bin_5,-0.0011111111111110738,0.004186987484759262
lbp_5,-0.0015555555555555156,0.0035206621150566104
hist_bin_13,-0.0015555555555555212,0.0037908271353848623
hist_bin_6,-0.0019999999999999627,0.0045487754423241405
mean_intensity,-0.0024444444444444045,0.004091545031004863
p75_intensity,-0.003333333333333277,0.006265720968831859
hist_bin_12,-0.0035555555555555063,0.0030143688813889817
hist_bin_8,-0.0035555555555555176,0.0049888765156985695
median_intensity,-0.00422222222222216,0.0032885885748774836
lbp_0,-0.004222222222222166,0.004964068423041921
lbp_1,-0.004666666666666619,0.0049640684230419195
lbp_7,-0.005555555555555508,0.004843221048378521
lbp_9,-0.0057777777777777315,0.004682512779045652
